dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
streamspot,full,11,0.6605293440736478,0.5299999999999999,0.75,0.0022043210919946,1.0,1.0,0.021763514999975
streamspot,full,22,0.6613272311212814,0.375472,0.8888888888888888,0.0104790516197681,1.0,0.9999889731407166,0.0358586925001418
streamspot,full,33,0.6621160409556314,0.513616,0.8888888888888888,0.0,1.0,0.9999915957450868,0.0199755305000053
streamspot,full,44,0.6959896507115135,0.505952,0.7272727272727273,0.0,1.0,0.999996304512024,0.0169547420000526
streamspot,full,55,0.662883087400681,0.461424,0.7272727272727273,0.0160318706184625,1.0,0.9999974370002748,0.0193467590002001
streamspot,full,66,0.6636363636363637,0.532048,0.7272727272727273,0.0,1.0,0.9999917149543762,0.0426717264999751
streamspot,full,77,0.662883087400681,0.5325279999999999,0.0,0.0113161662593483,1.0,1.0,0.0614048795000599
streamspot,full,88,0.6613636363636364,0.513664,0.8888888888888888,0.0080637214705348,1.0,0.99999737739563,0.0261177945001236
streamspot,full,99,0.662883087400681,0.414288,0.6666666666666666,0.0037221682723611,1.0,0.9999963641166688,0.0229386060000251
streamspot,full,110,0.6605293440736478,0.5547839999999999,0.6666666666666666,0.0109144132584333,1.0,1.0,0.0205770600000505
streamspot,minus_temporal_stream,11,0.66429418742586,0.4868159999999999,0.75,0.0004538468492683,1.0,1.0,0.0207767529998363
streamspot,minus_temporal_stream,22,0.6595238095238095,0.3735679999999999,0.75,0.0010463633807376,1.0,1.0,0.0199941249998119
streamspot,minus_temporal_stream,33,0.6659064994298746,0.543072,0.75,0.0010041057830676,1.0,0.9999998807907104,0.0196410334999654
streamspot,minus_temporal_stream,44,0.6483103879849812,0.4219759999999999,0.6153846153846154,0.0030072280205786,1.0,0.9999986290931702,0.0366541500000039
streamspot,minus_temporal_stream,55,0.658256880733945,0.445504,0.6666666666666666,0.0006251202430576,1.0,0.9999995827674866,0.0217246140000497
streamspot,minus_temporal_stream,66,0.6682986536107711,0.413424,0.6666666666666666,0.0004911245196126,1.0,1.0,0.0177731295000285
streamspot,minus_temporal_stream,77,0.6689576174112256,0.576032,0.0,0.0,1.0,0.9999986290931702,0.0188635859999521
streamspot,minus_temporal_stream,88,0.6659012629161883,0.568112,0.3333333333333333,0.0026858146302402,1.0,1.0,0.0216712760000064
streamspot,minus_temporal_stream,99,0.662883087400681,0.407072,0.6666666666666666,0.0001111076126107,1.0,1.0,0.0202330265001364
streamspot,minus_temporal_stream,110,0.6605293440736478,0.531664,0.6666666666666666,0.0026012284215539,1.0,0.9999979734420776,0.023022641000125
streamspot,minus_heterogeneous_stream,11,0.6605293440736478,0.483024,0.0,0.0207522567361593,1.0,1.0,0.0199489279998488
