n,prevalence,threshold,accuracy,f1,precision,recall,auroc,auprc,brier_score,model,seed,best_epoch,epochs_executed,parameter_count,primary_outcome,implementation_scope,dataset
628,0.011146496815286623,0.47258782386779785,0.9888535031847133,0.0,0.0,0.0,0.3977455716586151,0.028992997742004256,0.21393767502630637,temporal_gat,33,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.49,0.6640127388535032,0.06222222222222222,0.03211009174311927,1.0,0.7957211870255348,0.029064520332297412,0.24528176028034324,temporal_gat,44,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.5546353807223372,0.0930156103324743,0.26687830011398606,temporal_gat,55,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.39997708797454834,0.12261146496815287,0.024778761061946902,0.012544802867383513,1.0,0.265930526800092,0.008518900728102458,0.18934967087068227,temporal_gat,66,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.7188865884518059,0.021739380444769987,0.2834455879726119,temporal_gat,77,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.05,0.011146496815286623,0.02204724409448819,0.011146496815286623,1.0,0.2919254658385093,0.008707491934539346,0.28566620489980893,temporal_gat,88,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
628,0.011146496815286623,0.5397359728813171,0.9904458598726115,0.625,0.5555555555555556,0.7142857142857143,0.7752472969864274,0.5823807840116513,0.27360057221649736,temporal_gat,99,1,11,7585,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,cadets
589,0.49575551782682514,0.4947528541088104,0.49745331069609505,0.6613272311212814,0.4965635738831615,0.9897260273972602,0.5546849776301833,0.5333404168748392,0.24995737999570464,gat,11,3,13,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.05,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.4805647802223145,0.4799356824167025,0.25012847695923063,gat,110,1,11,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.508675754070282,0.5449915110356537,0.6771084337349398,0.5223048327137546,0.9623287671232876,0.5861641529449748,0.5798326763900965,0.24405022539591195,gat,22,36,46,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.45000000000000007,0.533106960950764,0.6737841043890866,0.515426497277677,0.9726027397260274,0.6161327890779945,0.6042918700787874,0.24509440071875607,gat,33,27,37,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.45235633850097656,0.5415959252971138,0.6762589928057554,0.5202952029520295,0.9657534246575342,0.59427032885937,0.5883107739489832,0.2451690658450866,gat,44,25,35,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.39740872383117676,0.5144312393887945,0.6682134570765661,0.5052631578947369,0.9863013698630136,0.6099753240164199,0.614181409023169,0.244935866741133,gat,55,28,38,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.41000000000000003,0.5382003395585738,0.6761904761904762,0.5182481751824818,0.9726027397260274,0.5640134218901343,0.5630828543576576,0.24432610446737155,gat,66,32,42,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4987826943397522,0.5432937181663837,0.6674907292954264,0.5222437137330754,0.9246575342465754,0.605466768138001,0.6190901724792318,0.24914164861487645,gat,77,7,17,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.49970072507858276,0.5942275042444821,0.6427503736920778,0.5702917771883289,0.7363013698630136,0.6237085466537521,0.5968427166773402,0.24962540493388014,gat,88,4,14,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4719489812850952,0.5382003395585738,0.6761904761904762,0.5182481751824818,0.9726027397260274,0.5522058484387251,0.5225068757828928,0.24644620701809747,gat,99,28,38,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4819982051849365,0.5280135823429541,0.648989898989899,0.514,0.8801369863013698,0.6161558507448919,0.5948439858303256,0.24856153537861295,gcn,11,11,21,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5045257210731506,0.634974533106961,0.6879535558780842,0.5969773299748111,0.8116438356164384,0.6810629122272959,0.66735313221688,0.2471480159818001,gcn,110,14,24,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.48484882712364197,0.49575551782682514,0.657439446366782,0.4956521739130435,0.976027397260274,0.6058011623080116,0.617407434901498,0.24955642727771743,gcn,22,19,29,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5108827352523804,0.5398981324278438,0.6608260325406758,0.5207100591715976,0.9041095890410958,0.5969224205525576,0.6125694788472175,0.24631264840464223,gcn,33,44,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.2797914743423462,0.5195246179966044,0.670547147846333,0.5079365079365079,0.9863013698630136,0.633140768414741,0.6391618019287795,0.24265938687453717,gcn,44,47,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4837259352207184,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.40651376781513765,0.43995923395370307,0.2505691064344747,gcn,55,2,12,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.45976147055625916,0.5365025466893039,0.6706875753920386,0.5176908752327747,0.952054794520548,0.46812301093123004,0.4424852048979555,0.24674112432547624,gcn,66,50,50,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.05,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.6323624371569576,0.6975078445684306,0.24956685489116867,gcn,77,6,16,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4610992968082428,0.5704584040747029,0.6306569343065693,0.549618320610687,0.7397260273972602,0.5588937318389373,0.49616769142156353,0.250478789146172,gcn,88,4,14,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.47063112258911133,0.568760611205433,0.60062893081761,0.5552325581395349,0.6541095890410958,0.578369309533693,0.5236072654751853,0.24948429995423274,gcn,99,6,16,913,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5028053522109985,0.6179966044142614,0.701195219123506,0.5726681127982647,0.9041095890410958,0.5958039297080394,0.601476702180118,0.24499983798049865,rgcn,11,9,19,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.47,0.5534804753820034,0.6732919254658385,0.5282651072124757,0.928082191780822,0.5522865642728657,0.5644524196954053,0.24797584282731872,rgcn,110,13,23,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5054826140403748,0.533106960950764,0.6318607764390897,0.5186813186813187,0.8082191780821918,0.620220469535538,0.6164583959583252,0.2436375042588385,rgcn,22,13,23,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5221772193908691,0.533106960950764,0.5985401459854015,0.5216284987277354,0.702054794520548,0.5940397121903971,0.6045020779302772,0.24300435294160336,rgcn,33,18,28,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.42825865745544434,0.5025466893039049,0.6636050516647531,0.4991364421416235,0.9897260273972602,0.6980247682302477,0.7697283299983506,0.24268311287840194,rgcn,44,22,32,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4630576968193054,0.49745331069609505,0.6605504587155964,0.496551724137931,0.9863013698630136,0.586579262949126,0.6051894513865363,0.24778064470415928,rgcn,55,11,21,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.47959721088409424,0.5127334465195246,0.6635404454865181,0.5044563279857398,0.9691780821917808,0.6528469627784697,0.7082270008792272,0.24556586614674575,rgcn,66,21,31,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.48247814178466797,0.6400679117147708,0.7309644670050761,0.5806451612903226,0.9863013698630136,0.6403706009870394,0.6118766474551687,0.24502785616790065,rgcn,77,8,18,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4785342514514923,0.5466893039049237,0.6794717887154862,0.5231053604436229,0.9691780821917808,0.5688679027720124,0.5747533559671505,0.2459113461972356,rgcn,88,9,19,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.4874873459339142,0.5908319185059423,0.6419019316493314,0.5669291338582677,0.7397260273972602,0.5653394677367279,0.5679309869554725,0.24580417539310062,rgcn,99,18,28,15193,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.46269434690475464,0.4872665534804754,0.6552511415525114,0.4914383561643836,0.9828767123287672,0.477860799778608,0.4881323439298306,0.25080194858438914,temporal_gat,11,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.05,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.3975543102255431,0.4337707092144424,0.2519285384400645,temporal_gat,110,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5171419382095337,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.6093526590101932,0.6301533575587828,0.24988588593841965,temporal_gat,22,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5058923959732056,0.499151103565365,0.6605293440736478,0.49740034662045063,0.9828767123287672,0.5177632489276325,0.48405597582041815,0.251287268484756,temporal_gat,33,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.475719153881073,0.5144312393887945,0.6682134570765661,0.5052631578947369,0.9863013698630136,0.6419906830865737,0.666787731495464,0.24613080238603663,temporal_gat,44,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5174249410629272,0.4940577249575552,0.6613636363636364,0.49489795918367346,0.9965753424657534,0.3832330150823301,0.4019374570381063,0.25543982282744565,temporal_gat,55,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5046208500862122,0.4906621392190153,0.6487119437939111,0.4928825622775801,0.9486301369863014,0.49738826622388266,0.4933981085924659,0.2508685465064114,temporal_gat,66,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.44655314087867737,0.4533106960950764,0.6148325358851675,0.4724264705882353,0.8801369863013698,0.37701213043678794,0.4380881923415932,0.25308103113315245,temporal_gat,77,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.5332369208335876,0.5144312393887945,0.6674418604651163,0.5052816901408451,0.9828767123287672,0.6018230247682301,0.6018934876010216,0.25554575033934074,temporal_gat,88,3,13,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
589,0.49575551782682514,0.05,0.49575551782682514,0.662883087400681,0.49575551782682514,1.0,0.4209734329597344,0.4542771410142732,0.25312733951250854,temporal_gat,99,1,11,7249,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,streamspot
678,0.14896755162241887,0.73,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9911371553099851,0.9413335504758698,0.20182559077092693,gat,11,44,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.95,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.991034198740498,0.9412319382282068,0.19996546691833544,gat,110,50,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.86,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9905194158930625,0.9769730959146943,0.1896315941270874,gat,22,48,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.86,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.7941726581670299,0.2732393890346035,0.20570378765580097,gat,33,50,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.9,0.9941002949852508,0.9797979797979798,1.0,0.9603960396039604,0.9903821404670796,0.9768357989104114,0.13629488294305714,gat,44,50,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.74,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9909312421710108,0.9411319782122133,0.20230123630148253,gat,55,44,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.84,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.9902105461846011,0.9766707121224656,0.17691672283737864,gat,66,49,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
678,0.14896755162241887,0.73,0.7935103244837758,0.5833333333333334,0.41702127659574467,0.9702970297029703,0.7647699778643375,0.2576940617653088,0.20505173160226864,gat,77,46,50,3817,entity/node detection on source-defined labels,parameter-matched PyTorch Geometric reference implementation,theia
