configuration,seed,node_f1,edge_auroc,subgraph_f1,fidelity,stability,completeness,latency_seconds
minus_prototype_learning,99,0.09333333333333334,0.451325,1.0,0.0019449195824563503,0.9867019891738892,0.9999983906745911,0.009594797499630658
minus_prototype_learning,110,0.47619047619047616,0.7834749999999999,1.0,1.060749764292268e-05,0.808432149887085,1.0,0.005575818999659532
minus_temporal_attention,11,0.0,0.46815,1.0,0.0,1.0,1.0,0.004625999499694444
minus_temporal_attention,22,0.06140350877192982,0.6897,1.0,0.0,0.9446288585662842,1.0,0.013182168000184902
minus_temporal_attention,33,0.024844720496894408,0.8452999999999999,1.0,0.0,0.9702741265296936,1.0,0.009164587000213942
minus_temporal_attention,44,0.02204724409448819,0.53125,1.0,0.0,0.9580929160118103,0.9999974966049194,0.014808394500050781
minus_temporal_attention,55,0.10852713178294573,0.643325,1.0,0.0018190416740253568,0.9023759961128235,1.0,0.009096118999877945
minus_temporal_attention,66,0.1875,0.3101875,1.0,4.13332054449711e-05,0.975,1.0,0.008128360499995324
minus_temporal_attention,77,0.0,0.14015,1.0,0.002443979261443019,1.0,0.9996337890625,0.005180514500352729
minus_temporal_attention,88,0.2,0.6542125,1.0,2.8218863008078188e-05,0.8858556628227234,1.0,0.008135674499953893
minus_temporal_attention,99,0.09395973154362416,0.45123750000000007,1.0,0.001993403770029545,0.9866129636764527,1.0,0.01127625800017995
minus_temporal_attention,110,0.47619047619047616,0.783125,1.0,1.037333731801482e-05,0.7939393997192383,1.0,0.005320155499703105
minus_gating_mechanism,11,0.0,0.43610000000000004,1.0,0.0,1.0,1.0,0.0051166829998692265
minus_gating_mechanism,22,0.0625,0.7797,1.0,0.0,0.8966639518737793,1.0,0.010548202999871137
minus_gating_mechanism,33,0.023450586264656615,0.865525,1.0,0.0,0.9682760119438172,1.0,0.013249257499865053
minus_gating_mechanism,44,0.02204724409448819,0.495325,1.0,0.0,0.9495861649513244,0.999973475933075,0.014315310999791109
minus_gating_mechanism,55,0.0945945945945946,0.6631,1.0,0.004167784936726093,0.8823069334030151,1.0,0.008661716500682815
minus_gating_mechanism,66,0.22641509433962265,0.1492,1.0,0.0,0.9924528360366821,0.9996564984321594,0.011869356500028516
minus_gating_mechanism,77,0.0,0.15095,1.0,0.00012298357614781708,1.0,0.9999881386756897,0.015804603499873338
minus_gating_mechanism,88,0.34285714285714286,0.835625,1.0,3.644398384494707e-05,0.7926200270652771,1.0,0.010055787000510463
minus_gating_mechanism,99,0.014925373134328358,0.38980000000000004,1.0,0.00863146036863327,0.9962962985038757,0.9999598860740662,0.01442773149938148
minus_gating_mechanism,110,0.02356902356902357,0.67665,1.0,0.0,0.9699378371238708,0.999997615814209,0.02310518950025653
